"","cntry","happy","sclmeet","inprdsc","health","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","height","weighta","fltdpr","flteeff","slprl","wrhpp","fltlnl","enjlf","fltsd","hltprhc","hltprhb","hltprdi","gndr","paccnois"
"184","AT",8,3,1,2,10,3,3,3,6,7,163,72,1,1,1,3,1,3,1,1,1,0,2,0
"185","AT",7,5,1,2,8,4,3,2,6,6,165,65,2,1,2,3,2,2,1,0,0,0,2,0
"186","AT",10,5,4,1,9,3,3,1,6,4,162,62,1,1,3,4,1,3,1,0,0,0,2,0
"187","AT",5,4,2,2,10,1,3,1,2,3,163,70,2,2,3,1,1,3,1,0,0,0,2,0
"188","AT",7,6,3,2,8,3,3,4,4,2,179,76,1,1,2,3,1,3,1,0,0,0,2,0
"189","AT",6,4,4,3,8,3,3,4,1,1,179,92,1,2,2,3,1,3,1,1,0,0,1,0
"190","AT",9,4,2,2,10,5,3,1,1,1,189,92,1,1,1,3,1,2,2,0,0,0,1,0
"191","AT",1,6,3,1,9,2,3,5,1,1,174,75,1,2,2,3,1,3,1,0,0,0,1,0
"192","AT",10,3,4,3,9,3,4,6,6,4,172,79,2,2,3,4,1,3,2,1,1,1,2,0
"193","AT",8,4,3,3,9,3,3,2,6,6,165,64,1,1,1,2,1,2,1,0,1,0,2,0
"194","AT",9,3,1,3,9,3,3,0,6,3,167,50,1,1,1,2,1,3,2,0,1,0,2,0
"195","AT",8,4,4,3,10,4,3,7,5,5,168,85,1,2,1,4,1,3,2,0,0,0,2,0
"196","AT",9,6,4,2,9,5,3,4,5,3,185,89,1,1,1,4,1,3,1,0,1,0,1,0
"197","AT",7,6,4,2,9,3,3,5,1,1,178,89,1,1,2,2,1,2,1,0,0,0,1,0
"198","AT",9,4,1,1,8,3,3,7,2,4,185,83,1,1,1,3,1,3,1,0,0,0,1,0
"199","AT",3,6,4,1,5,2,2,5,6,2,160,66,2,2,2,1,2,2,2,0,0,0,2,0
"200","AT",7,4,1,3,9,3,3,0,1,7,163,72,2,2,2,2,2,2,2,1,0,0,2,0
"201","AT",10,6,6,2,9,3,3,2,6,2,179,100,2,1,1,4,1,3,1,0,1,0,1,0
"202","AT",7,5,5,3,7,2,2,0,6,7,162,90,1,2,2,2,1,2,1,0,0,0,2,0
"203","AT",9,7,4,1,8,3,3,7,4,2,170,70,2,2,1,3,1,3,2,1,0,0,1,0
"204","AT",3,4,2,1,10,4,4,5,4,2,163,60,2,2,1,2,1,2,2,0,0,0,2,0
"205","AT",6,6,3,2,6,3,3,5,1,2,160,70,2,2,2,4,1,3,2,0,0,0,2,1
"206","AT",8,3,1,3,7,3,3,2,6,6,163,57,1,1,1,3,1,3,1,0,0,0,2,0
"207","AT",6,5,2,2,8,5,4,3,2,4,180,72,2,1,2,3,2,3,2,0,0,0,1,0
"208","AT",6,7,2,2,8,2,2,3,2,2,170,68,1,2,1,3,1,2,2,0,1,0,2,0
"209","AT",10,5,4,1,9,4,3,3,6,4,173,75,1,1,1,4,1,4,1,0,0,0,2,0
"210","AT",7,6,3,2,8,2,3,3,4,1,169,76,2,2,2,2,2,2,2,0,1,0,1,0
"211","AT",2,2,1,4,5,3,3,0,4,3,193,117,2,3,1,2,1,1,3,0,0,0,1,0
"212","AT",5,5,2,3,6,2,3,6,4,6,165,61,2,1,2,3,2,2,2,0,0,1,2,0
"213","AT",6,4,4,3,6,3,3,0,6,7,161,58,2,1,2,2,1,2,1,1,1,0,2,0
"214","AT",8,6,3,2,10,2,5,7,1,2,184,72,1,2,1,3,1,3,1,0,0,0,1,0
"215","AT",9,4,4,2,9,3,3,1,6,5,166,65,2,1,1,2,1,2,2,0,0,0,2,0
"216","AT",7,6,4,1,7,3,4,5,6,7,176,79,1,1,1,3,1,3,1,0,0,0,2,0
"217","AT",8,5,2,3,6,3,3,4,5,3,165,75,1,1,2,2,1,3,2,1,1,0,2,0
"218","AT",9,6,4,1,7,1,1,2,6,6,180,70,1,2,1,3,1,4,1,0,0,0,1,0
"219","AT",5,5,5,1,8,3,3,6,4,2,158,58,1,1,2,3,1,3,1,0,0,0,1,0
"220","AT",10,6,3,1,8,6,3,5,4,4,176,80,1,1,1,4,1,4,1,0,0,0,1,0
"221","AT",8,4,3,3,9,4,3,1,4,2,183,94,1,1,1,2,1,2,1,0,1,0,1,0
"222","AT",5,6,3,3,7,3,4,6,2,7,178,80,2,2,2,1,2,1,2,0,1,0,1,0
"223","AT",9,3,2,3,1,4,3,3,6,5,153,60,2,2,3,4,2,3,2,1,1,0,2,0
"224","AT",8,4,4,2,9,2,3,2,4,4,168,59,1,1,1,2,1,2,1,0,0,0,2,0
"225","AT",9,5,3,3,9,3,3,2,6,5,163,62,1,1,1,4,1,4,1,1,0,0,2,0
"226","AT",8,6,3,1,9,4,NA,5,1,1,185,94,1,2,2,3,1,3,1,0,0,0,1,0
"227","AT",9,6,3,1,8,4,3,6,1,2,168,60,1,2,1,4,1,3,1,0,0,0,2,0
"228","AT",8,5,2,2,9,2,4,4,1,2,183,74,1,2,1,2,1,2,1,0,0,0,1,0
"229","AT",9,6,3,1,8,4,4,4,3,2,183,89,1,1,1,4,1,4,1,0,0,0,1,0
"230","AT",9,4,3,2,9,3,3,7,6,7,164,75,1,1,2,3,1,3,1,0,0,0,2,0
"231","AT",10,2,1,1,10,3,2,3,4,3,178,74,1,1,1,4,1,4,1,0,0,0,1,0
"232","AT",8,5,3,1,9,2,4,3,6,3,171,80,1,1,1,3,2,3,1,0,0,0,2,0
"233","AT",7,5,4,1,9,2,2,7,6,5,162,78,1,1,1,3,1,3,1,0,0,0,2,0
"234","AT",10,6,3,3,8,4,4,4,6,5,163,100,1,1,1,4,1,4,1,0,0,0,2,0
"235","AT",10,6,4,2,10,3,2,3,1,3,167,66,1,1,1,3,1,3,1,0,0,0,1,0
"236","AT",8,5,4,2,8,4,4,0,6,4,165,67,1,1,1,3,1,4,1,0,0,0,2,0
"237","AT",5,4,2,2,6,3,4,3,1,1,166,69,2,3,2,2,2,3,2,0,0,0,2,0
"238","AT",7,5,3,3,9,4,4,0,3,2,179,92,1,2,1,2,1,3,1,0,1,1,1,0
"239","AT",10,4,2,2,9,3,4,1,1,7,172,90,1,1,2,4,1,4,1,0,0,0,2,0
"240","AT",10,4,1,1,10,3,3,5,6,2,185,96,1,1,1,3,1,3,1,0,0,0,1,0
"241","AT",7,6,3,1,8,5,5,2,5,3,172,56,1,1,1,3,1,3,1,0,0,0,2,0
"242","AT",6,5,2,3,7,3,3,0,6,2,177,65,2,3,2,3,2,3,2,0,0,0,2,0
"243","AT",9,4,3,3,8,7,5,0,1,6,160,65,2,1,3,4,1,4,1,0,1,0,2,0
"244","AT",9,6,4,3,8,3,2,7,6,7,174,72,2,2,2,3,1,3,1,0,0,0,2,0
